id;adi;yeri;hatlar;point;px;py;weight;is_active;sp_distance;sp_duration;sp_weight
3243;10925;Yukarı Öveçler Mh.1065.Cd.Çankaya;454,454-6;;39.8885;32.8242;0;f;15504.4;1419.6;2848.4
3244;10181;Alacaatlı Mh.3278.Sk.Yenimahalle;590;;39.8515;32.6485;0;f;15460.1;1567.1;3239.8
3245;41400;Baraj Mh.Mh. Altındağ;447-2;;39.9948;32.9008;3;t;24646.2;2080.3;4238.4
3246;30292;Şahintepe Mh.291.Cd.Mamak;341-6,365;;39.9185;32.9148;0;f;22417.9;2408.4;4880
3247;30005;Hacettepe Mh.Atatürk Blv.Altındağ;321,321-6,333,334,334-6,341-6,343,347,347-6,348,350,353,365,367,380-6,392,392-6,452-2,454,454-6,456-2;;39.9296;32.8549;0;f;19380.5;1740.1;3501.5
3248;10515;Kızılcaşar Mh.İncek Blv.Gölbaşı;102-2,103-2,191,191-2,192,193,194,196,584;;39.8283;32.7314;0;f;8381.7;1145.5;2406
3249;31802;Kusunlar Mh.Mh.Doğakent TOKİ Konutları Mamak;334,344-1;;39.8518;32.9687;0;f;46525.3;3471.4;7005
3250;10831;İşçi Blokları Mh.1505.Cd.Çankaya;132,134,136,411-3,482-3;;39.8936;32.8077;0;f;12495.4;1273.1;2605.2
3251;10870;Oğuzlar Mh.Mevlana Blv.Çankaya;102-2,103-2,104-1,105-1,106-1,107-6,109,178-3,191,191-2,192,193,194,195-1;;39.9008;32.8142;0;f;12811.7;1126.9;2258.6
3252;40615;Fatih Mh.Gülyaz Cd.Pursaklar;436,438-2,440-1,484-2;;40.0428;32.8989;0;f;30464.2;2444.9;4952.3
3253;41249;Merkez Mh.Mh.Özler Sk.Pursaklar;439-2,439-6,484-2;;40.0435;32.8854;0;f;30880.9;2511.3;5098.1
3254;41253;Fatih Mh.Mh.Kenevir Sk.Pursaklar;486-1,486-6;;40.0493;32.9015;0;f;30945.7;2514.8;5081.1
3255;41014;Beyazıt Mh.Nurettin Cankurtaran Cd.Akyurt;468-1,488-1,488-3;;40.1308;33.0819;0;f;50939.8;3793.5;7659.5
3256;11654;Doğanbey Mh.Sıhhıye Otobüs Durağı Altındağ;135-2,173-2,173-5,185-2,185-3,185-6,427-1,427-3,427-6;;39.9294;32.8543;0;f;15781.6;1610.5;3227.9
3257;51044;Tunahan Mh.197.Sk.Etimesgut;542,545,585;;39.9906;32.6268;0;f;32968.9;2023.7;4065
3258;40749;Peçenek Mh.Alparslan Türkeş Blv.Pursaklar;485-2,488-1,488-3,490-2,490-3,490-5;;40.0668;32.9808;0;f;39476.1;2923.6;5885.2
3259;40438;Karacaören Mh.T.Kalkınma ve Dayanışma Derneği Evleri Altındağ;441-2,443-2;;40.0231;32.9176;0;f;30550;2529.3;5121.1
3260;40418;Karacaören Mh.Yeşilyurt-Karacaören Yolu Altındağ;441-2,444-1;;40.0352;32.9201;0;f;31506.9;2590.9;5313.2
3261;50478;Mareşal Çakmak Mh.Atatürk Cd.Sincan;510,510-2,510-3,510-6,511,511-3,513-1,522,551;;39.9613;32.5974;0;f;30077.7;2055.7;4119.9
3262;50800;Kazım Karabekir Mh.İstasyon Cd.Etimesgut;506-1,507,507-2,510-3,511,511-3,512-3,512-4,513-1,523,523-6,524,531-2,532,533,552;;39.9497;32.6575;0;f;13516.8;1597.6;3200.6
3263;10514;Kızılcaşar Mh.İncek Blv.Gölbaşı;102-2,103-2,191,191-2,192,193,194,196,584;;39.8236;32.723;0;f;9278.1;1255.1;2635.1
3264;50807;İstasyon Mh.İstasyon Cd.Etimesgut;506-1,507,507-2,508-3,510-3,511,511-3,512-3,512-4,513-1,523,523-6,524,530,530-2,530-3,532,532-3,533,535,536,538,552,553,565,565-6,567;;39.9479;32.6678;0;f;12616;1489.5;2984.1
3265;50851;Yapracık Mh.Eskişehir Yolu Etimesgut;528,583,588,588-1,589,591,594,595;;39.8594;32.6188;0;f;18934.8;1554.4;3126.6
